la_name,year,annual_mean_no2
Bath and North East Somerset,2019,56
Bath and North East Somerset,2020,44.75868111
Bath and North East Somerset,2021,44.16287605
Bath and North East Somerset,2022,41.57717856
Bath and North East Somerset,2023,38.98720993
"Bristol, City of",2019,68.7
"Bristol, City of",2020,52.1
"Bristol, City of",2021,58
"Bristol, City of",2022,66.2
"Bristol, City of",2023,48.93402778
South Gloucestershire,2019,42.3
South Gloucestershire,2020,35.9
South Gloucestershire,2021,38.8
South Gloucestershire,2022,38.7
South Gloucestershire,2023,30.1
North Somerset,2019,29
North Somerset,2020,20.1
North Somerset,2021,24.1
North Somerset,2022,23.1
North Somerset,2023,21.8
